Opportunity Name,Actual Ship Date,Product Family,Quantity,Site Street,Site City,Site State,Site Zip/Postal Code,Site Country,Industry
Houston Police - BLT (2006),,PDTT,2,"""8904 Fairbanks N. Houston Rd. """,Houston,TX,77064,USA,Police
Yukon Energy,,Alpha,2,"#2 Miles Canyon Road, Box 5920",Whitehorse,YT,Y1A 6S7,Canada,Power Utility & Substation
AECL - Pinawa,,FSXT,1,1 Ara Mooradian Way,"Pinawa,",MB,R0E 1L0,Canada,Government Facilities
Reagan Airport (2009),,PDTT,1,1 Aviaton Dr,Arlinton,VA,22202,USA,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,2,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,FSXT,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Operator Parts,6,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Heras Hardware,2,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Operators,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,9,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Pedestrian Gate,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Vaughan Data Center,3/6/2018,Access CONrol Accessories,8,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Pedestrian Gate,5,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Fold Hardware,1,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Alpha,1,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Alpha,1,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Alpha,3,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Cavanagh Site - CFB Kingston,6/6/2017,FSXT,1,1 Givenchy St,Kingston,ON,K7K 5H9,Canada,Military/Navy
Cavanagh Site - CFB Kingston,6/6/2017,FSXT,3,1 Givenchy St,Kingston,ON,K7K 5H9,Canada,Military/Navy
Orlando Airport,7/19/2013,PDXT,2,1 Jeff Fuqua Boulevard,Orlando,FL,32827,USA,Aviation
Indiana State Prison (2015),,PDTT,1,1 Park Row,Michigan City,IN,46360,USA,Criminal Justice
Port of Wilmington,6/13/2018,Fold Hardware,1,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
Port of Wilmington,6/13/2018,FSXT,2,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
Port of Wilmington,6/13/2018,Gate Hardware,2,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
Port of Wilmington,6/13/2018,Fold Hardware,2,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
CBCS (2014),,FSXT,2,1 Silmon Bolivar Plein,Willemstad,Curacao,,Curacao,Government Facilities
CBCS (2014),,FSXT,2,1 Silmon Bolivar Plein,Willemstad,Curacao,,Curacao,Government Facilities
Real Storage - ON,,FSXT,1,1 Woodfield Road,ON,ON,M4L 2W1,Canada,Storage Facility
EdmONon Airport,8/25/2013,Alpha,1,"1, 1000 Airport Road",Nisku,AB,T9E 8T3,Canada,Aviation
EdmONon Airport,8/25/2013,Alpha,1,"1, 1000 Airport Road",Nisku,AB,T9E 8T3,Canada,Aviation
EdmONon Airport,8/25/2013,Operator,2,"1, 1000 Airport Road",Nisku,AB,T9E 8T3,Canada,Aviation
EdmONon Airport - FSXT,,FSXT,1,"1, 1000 Airport Road,",EdmONon,AB,T9E 0V3,Canada,Aviation
TTC - Queens Quay,6/26/2018,,2,10 Bay Street,ON,ON,,Canada,Public Transportation
TTC - Queens Quay,6/26/2018,,1,10 Bay Street,ON,ON,,Canada,Public Transportation
TTC - Queens Quay,6/26/2018,,200,10 Bay Street,ON,ON,,Canada,Public Transportation
TTC - Queens Quay,6/26/2018,,2,10 Bay Street,ON,ON,,Canada,Public Transportation
Big Freight - Winnipeg,,,1,"10 Hutchings St,",Winnipeg,MB,R2X 2X1,Canada,Trucking
